,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,log_SalePrice
0,65.0,7,2003,2003,856,856,1710,2,8,0,2003.0,2,548,12.247694320220994
1,80.0,6,1976,1976,1262,1262,1262,2,6,1,1976.0,2,460,12.109010932687042
2,68.0,7,2001,2002,920,920,1786,2,6,1,2001.0,2,608,12.31716669303576
3,60.0,7,1915,1970,756,961,1717,1,7,1,1998.0,3,642,11.84939770159144
4,84.0,8,2000,2000,1145,1145,2198,2,9,1,2000.0,3,836,12.429216196844383
5,85.0,5,1993,1995,796,796,1362,1,5,0,1993.0,2,480,11.870599909242044
6,75.0,8,2004,2005,1686,1694,1694,2,7,1,2004.0,2,636,12.634603026569334
7,69.0,7,1973,1973,1107,1107,2090,2,7,2,1973.0,2,484,12.206072645530174
8,51.0,7,1931,1950,952,1022,1774,2,8,2,1931.0,2,468,11.77452020265869
9,50.0,5,1939,1950,991,1077,1077,1,5,2,1939.0,1,205,11.678439903447801
10,70.0,5,1965,1965,1040,1040,1040,1,5,0,1965.0,1,384,11.771436160121729
11,85.0,9,2005,2006,1175,1182,2324,3,11,2,2005.0,3,736,12.751299696013497
12,69.0,5,1962,1962,912,912,912,1,4,0,1962.0,1,352,11.877568578558138
13,91.0,7,2006,2007,1494,1494,1494,2,7,1,2006.0,3,840,12.540757571577291
14,69.0,6,1960,1960,1253,1253,1253,1,5,1,1960.0,1,352,11.964001084330445
15,51.0,7,1929,2001,832,854,854,1,5,0,1991.0,2,576,11.790557201568507
16,69.0,6,1970,1970,1004,1004,1004,1,5,1,1970.0,2,480,11.911701584927597
17,72.0,4,1967,1967,0,1296,1296,2,6,0,1967.0,2,516,11.407564949312402
18,66.0,5,2004,2004,1114,1114,1114,1,6,0,2004.0,2,576,11.976659481202368
19,70.0,5,1958,1965,1029,1339,1339,1,6,0,1958.0,1,294,11.842229212112828
20,101.0,8,2005,2006,1158,1158,2376,3,9,1,2005.0,3,853,12.692503112461443
21,57.0,7,1930,1950,637,1108,1108,1,6,1,1930.0,1,280,11.845102777308561
22,75.0,8,2002,2002,1777,1795,1795,2,7,1,2002.0,2,534,12.345834587905333
23,44.0,5,1976,1976,1040,1060,1060,1,6,1,1976.0,2,572,11.77452020265869
24,69.0,5,1968,2001,1060,1060,1060,1,6,1,1968.0,1,270,11.944707881395766
25,110.0,8,2007,2007,1566,1600,1600,2,7,1,2007.0,3,890,12.454103912352162
26,60.0,5,1951,2000,900,900,900,1,5,0,2005.0,2,576,11.811547477460344
27,98.0,8,2007,2008,1704,1704,1704,2,7,1,2008.0,3,772,12.631340380934517
28,47.0,5,1957,1997,1484,1600,1600,1,6,2,1957.0,1,319,12.24288661865289
29,60.0,4,1927,1950,520,520,520,1,4,0,1920.0,1,240,11.134589024250317
30,50.0,4,1920,1950,649,649,1317,1,6,0,1920.0,1,250,10.596634733096073
31,69.0,5,1966,2006,1228,1228,1228,1,6,0,1966.0,1,271,11.914047823644255
32,85.0,8,2007,2007,1234,1234,1234,2,7,0,2007.0,2,484,12.100156419938624
33,70.0,5,1959,1959,1398,1700,1700,1,6,1,1959.0,2,447,12.016726473799254
34,60.0,9,2005,2005,1561,1561,1561,2,6,1,2005.0,2,556,12.533576212168626
35,108.0,8,2004,2005,1117,1132,2452,3,9,1,2004.0,3,691,12.641096555879882
36,112.0,5,1994,1995,1097,1097,1097,1,6,0,1995.0,2,672,11.884489021402711
37,74.0,5,1954,1990,1297,1297,1297,1,5,1,1954.0,2,498,11.938193200374572
38,68.0,5,1953,2007,1057,1057,1057,1,5,0,1953.0,1,246,11.59910316121128
39,65.0,4,1955,1955,0,1152,1152,2,6,0,1980.0,0,0,11.314474526246391
40,84.0,6,1965,1965,1088,1324,1324,2,6,1,1965.0,2,440,11.982929094215963
41,115.0,5,1959,1959,1350,1328,1328,1,5,2,1959.0,1,308,12.043553716032399
42,69.0,5,1983,1983,840,884,884,1,5,0,1983.0,2,504,11.877568578558138
43,69.0,5,1975,1980,938,938,938,1,5,0,1977.0,1,308,11.777210959615614
44,70.0,5,1959,1959,1150,1150,1150,1,6,0,1959.0,1,300,11.856515169360305
45,61.0,9,2005,2005,1752,1752,1752,2,6,1,2005.0,2,576,12.675763725937609
46,48.0,7,2003,2003,1434,1518,2149,1,6,1,2003.0,2,670,12.387085012375499
47,84.0,8,2006,2006,1656,1656,1656,2,7,0,2006.0,3,826,12.428015476267865
48,33.0,4,1920,2008,736,736,1452,2,8,0,1980.0,0,0,11.635143097694478
49,66.0,5,1966,1966,955,955,955,1,6,0,1966.0,1,386,11.751942365440728
50,69.0,6,1997,1997,794,794,1470,2,6,0,1997.0,2,388,12.083905011555967
51,52.0,6,1934,1950,816,816,1176,1,6,1,1985.0,2,528,11.648330101976432
52,110.0,5,1963,1963,816,816,816,1,5,0,1963.0,2,516,11.608235644774552
53,68.0,9,1981,1987,1842,1842,1842,0,5,1,1981.0,3,894,12.86099861326992
54,60.0,5,1955,1955,384,1360,1360,1,6,1,1962.0,2,572,11.77528972943772
55,100.0,6,1964,1964,1425,1425,1425,2,7,1,1964.0,2,576,12.103486056755072
56,24.0,8,1999,2000,970,983,1739,2,7,0,1999.0,2,480,12.058152515453552
57,89.0,7,2004,2004,860,860,1720,2,7,0,2004.0,2,565,12.188417710291453
58,66.0,10,2006,2006,1410,1426,2945,3,10,1,2006.0,3,641,12.991753427493052
59,60.0,5,1972,1972,780,780,780,1,4,0,1973.0,1,352,11.73526869611367
60,63.0,6,2004,2004,1158,1158,1158,1,5,0,2006.0,2,576,11.970350312009105
61,60.0,5,1920,1996,530,581,1111,1,6,0,1935.0,1,288,11.522875795823397
62,44.0,8,2006,2006,1370,1370,1370,2,6,1,2006.0,2,484,12.218495165528731
63,50.0,7,1921,1950,576,902,1710,2,9,0,1990.0,2,480,11.84939770159144
64,69.0,7,1997,1998,1057,1057,2034,2,8,0,1998.0,2,645,12.299107511497363
65,76.0,8,2004,2005,1143,1143,2473,2,9,1,2004.0,3,852,12.666657052859417
66,69.0,7,1970,1989,1947,2207,2207,2,7,1,1970.0,2,576,12.100712129872347
67,72.0,7,2003,2003,1453,1479,1479,2,7,0,2003.0,2,558,12.328290278254423
68,47.0,4,1945,1950,747,747,747,1,4,0,1945.0,1,220,11.289781913656018
69,81.0,7,1953,1953,1304,1304,2287,2,7,1,1953.0,2,667,12.323855681186558
70,95.0,7,1973,1973,2223,2223,2223,2,8,2,1973.0,2,516,12.404923504275338
71,69.0,4,1982,2006,845,845,845,1,4,0,1987.0,2,360,11.771436160121729
72,74.0,7,1998,1998,832,885,1718,2,7,1,1998.0,2,427,12.128111104060462
73,85.0,5,1954,2003,1086,1086,1086,1,6,0,1989.0,2,490,11.883799128308773
74,60.0,3,1915,1950,840,840,1605,2,8,0,1915.0,1,379,11.584315461056901
75,21.0,4,1973,1973,462,526,988,1,5,0,1973.0,1,297,11.418614785498987
76,69.0,4,1956,1956,952,952,952,1,4,0,1956.0,1,283,11.818570237796182
77,50.0,5,1948,2001,672,1072,1285,1,6,0,1948.0,1,240,11.751942365440728
78,72.0,4,1968,1968,1768,1768,1768,2,8,0,1980.0,0,0,11.824079893607152
79,60.0,5,1910,1981,440,682,1230,1,5,0,1966.0,2,440,11.608235644774552
80,100.0,6,1968,1968,896,1182,2142,2,8,1,1968.0,1,509,12.173032791451973
81,32.0,6,1998,1998,1237,1337,1337,2,5,0,1998.0,2,405,11.941455846009388
82,78.0,8,2007,2007,1563,1563,1563,2,6,1,2007.0,3,758,12.409013489526863
83,80.0,5,1960,1960,1065,1065,1065,1,6,0,1974.0,2,461,11.747997587149712
84,69.0,7,1995,1996,384,804,1474,2,7,1,1995.0,2,400,12.034691028774553
85,121.0,8,1991,1992,1288,1301,2417,2,9,1,1991.0,2,462,12.468436909997665
86,122.0,6,2005,2005,684,684,1560,2,6,1,2005.0,2,400,12.066810578196666
87,40.0,6,2009,2009,612,612,1224,2,4,0,2009.0,2,528,12.010665849187564
88,105.0,3,1915,1982,1013,1013,1526,1,6,0,1980.0,0,0,11.350406535472453
89,60.0,4,1994,1995,990,990,990,1,5,0,1980.0,0,0,11.724805824005728
90,60.0,4,1950,1950,0,1040,1040,1,4,0,1950.0,2,420,11.607326140391713
91,85.0,5,1961,1961,1235,1235,1235,1,6,0,1961.0,2,480,11.498826540590727
92,80.0,5,1921,2006,876,964,964,1,5,0,1921.0,2,432,12.004568269319446
93,60.0,6,1910,1998,1214,1260,2291,2,9,1,1900.0,2,506,11.804848531679264
94,69.0,6,1997,1997,824,905,1786,2,7,0,1997.0,2,684,12.229545001715316
95,69.0,6,1993,1993,680,680,1470,2,6,1,1993.0,2,420,12.128111104060462
96,78.0,7,1999,1999,1588,1588,1588,2,6,0,1999.0,2,472,12.273731294003989
97,73.0,4,1965,1965,960,960,960,1,6,0,1965.0,1,432,11.458997122944673
98,85.0,5,1920,1950,458,835,835,1,5,0,1920.0,1,366,11.326595886778735
99,77.0,4,1959,1959,950,1225,1225,1,6,0,1980.0,0,0,11.76718001130949
100,69.0,6,1977,2001,1610,1610,1610,2,6,2,1977.0,2,480,12.230765258120545
101,77.0,6,1985,1985,741,977,1732,2,7,1,1985.0,2,476,12.089538829274222
102,64.0,5,1979,1979,0,1535,1535,2,8,0,1979.0,2,410,11.686576205316552
103,94.0,7,2009,2009,1226,1226,1226,2,6,0,2009.0,3,740,12.200557464842063
104,69.0,7,1931,1950,1040,1226,1818,1,7,2,1951.0,1,240,12.040608205802641
105,75.0,8,2003,2004,1053,1053,1992,2,9,1,2003.0,2,648,12.429216196844383
106,60.0,4,1885,1995,641,1047,1047,1,6,0,1954.0,1,273,11.512925464970229
107,50.0,5,1948,1950,789,789,789,1,5,0,1948.0,1,250,11.652687407345388
108,85.0,5,1919,2005,793,997,1517,2,7,0,1980.0,0,0,11.652687407345388
109,105.0,6,1977,1977,1844,1844,1844,2,7,1,1977.0,2,546,12.154779351142624
110,75.0,6,1954,1972,994,1216,1855,2,7,0,1954.0,1,325,11.82700601127654
111,69.0,7,2000,2000,384,774,1430,2,7,1,2000.0,2,400,12.100712129872347
112,77.0,7,2007,2007,1264,1282,2696,2,10,1,2007.0,3,792,12.858319703517948
113,69.0,6,1953,1953,1809,2259,2259,2,7,2,1953.0,2,450,12.287652632522597
114,61.0,6,1945,2002,1028,1436,2320,2,9,1,1945.0,1,180,12.46651198158808
115,34.0,6,1999,1999,729,729,1458,2,5,1,1999.0,2,440,12.078239274020289
116,69.0,5,1962,1962,1092,1092,1092,1,6,1,1962.0,1,288,11.842229212112828
117,74.0,5,2006,2007,1125,1125,1125,1,5,0,2007.0,2,430,11.951180395901384
118,90.0,7,1990,1990,1673,1699,3222,3,11,2,1990.0,3,594,12.676076274775909
119,65.0,6,2005,2006,728,728,1456,2,8,1,2005.0,2,390,12.007560729337492
120,69.0,6,1969,1969,938,988,988,1,4,2,1969.0,2,540,12.100712129872347
121,50.0,4,1939,1950,732,772,1123,1,4,0,1979.0,1,264,11.512925464970229
122,75.0,6,1958,1958,1080,1080,1080,1,5,0,1958.0,1,288,11.820410164718188
123,55.0,6,1993,1993,1199,1199,1199,2,5,0,1993.0,2,530,11.94405831982697
124,48.0,6,1979,1998,1362,1586,1586,2,7,1,1979.0,2,435,12.106252310247962
125,60.0,6,1935,1982,520,520,754,1,5,0,1980.0,0,0,11.344506813345266
126,69.0,6,1976,1976,1078,958,958,2,5,1,1977.0,2,440,11.759785542901755
127,55.0,5,1930,1950,672,840,840,1,5,1,1980.0,0,0,11.37366339763672
128,69.0,6,1966,1966,660,660,1348,1,6,1,1966.0,2,453,11.951180395901384
129,69.0,5,1958,1991,1008,1053,1053,1,6,0,1998.0,2,750,11.918390573078392
130,88.0,7,1966,1966,924,1216,2157,2,8,2,1966.0,2,487,12.328290278254423
131,69.0,6,2000,2000,992,1022,2054,2,7,1,2000.0,2,390,12.404923504275338
132,75.0,5,1959,2002,1063,1327,1327,1,7,0,1974.0,2,624,11.923378114589433
133,69.0,8,2001,2002,1267,1296,1296,2,6,0,2001.0,2,471,12.301382825334498
134,78.0,5,1968,1993,1461,1721,1721,2,7,1,1968.0,2,440,12.100712129872347
135,80.0,7,1970,1970,1304,1682,1682,2,7,1,1970.0,2,530,12.066810578196666
136,69.0,5,1967,1967,1214,1214,1214,2,5,1,1967.0,1,318,11.870599909242044
137,82.0,7,1988,1989,1907,1959,1959,3,9,0,1989.0,3,766,12.049418835484797
138,73.0,8,1999,2000,1004,1004,1852,2,7,2,1999.0,3,660,12.345834587905333
139,65.0,6,1997,1997,928,928,1764,2,7,0,1997.0,2,470,12.352335152508426
140,70.0,4,1971,1971,864,864,864,1,5,1,1980.0,0,0,11.652687407345388
141,78.0,7,2005,2005,1734,1734,1734,2,7,0,2005.0,2,660,12.468436909997665
142,71.0,5,1952,1952,910,910,1385,2,6,0,2000.0,2,720,12.01974306733868
143,78.0,7,1999,1999,1490,1501,1501,2,6,0,1999.0,2,577,12.225875272826354
144,70.0,5,1963,1963,1728,1728,1728,2,10,0,1963.0,2,504,11.736069016284437
145,24.0,6,2004,2006,970,970,1709,2,7,0,2004.0,2,380,11.77528972943772
146,51.0,5,1931,1993,715,875,875,1,5,0,1931.0,1,180,11.56171562913966
147,69.0,7,2001,2001,884,884,2035,2,8,1,2001.0,2,434,12.312682380588432
148,63.0,7,2004,2005,1080,1080,1080,1,6,0,1980.0,0,0,11.856515169360305
149,69.0,5,1936,1950,896,896,1344,1,7,0,1936.0,1,240,11.652687407345388
150,120.0,5,1975,1975,969,969,969,1,5,0,1975.0,2,440,11.711776323715394
151,107.0,8,2007,2008,1710,1710,1710,2,6,1,2007.0,3,866,12.827729194939907
152,69.0,6,1971,1971,825,1097,1993,2,8,1,1971.0,2,495,12.154779351142624
153,69.0,6,1960,1975,1602,1252,1252,1,4,1,1960.0,2,564,12.367340793126296
154,84.0,6,1923,1950,1200,1200,1200,1,7,0,1923.0,1,312,11.736069016284437
155,60.0,6,1924,1950,572,572,1096,1,5,0,1980.0,0,0,11.27720313144916
156,60.0,5,1950,1950,0,1040,1040,1,5,0,1950.0,2,625,11.603679828238693
157,92.0,8,2009,2010,774,774,1968,2,8,1,2009.0,3,680,12.504323669331189
158,100.0,7,2004,2005,991,991,1947,2,8,1,2004.0,2,678,12.448626590364206
159,134.0,7,2005,2006,1392,1392,2462,2,9,1,2006.0,2,576,12.676076274775909
160,69.0,6,1984,1984,1232,1232,1232,2,6,0,1984.0,2,516,11.998433280751929
161,110.0,9,2003,2004,1572,1572,2668,2,10,2,2003.0,3,726,12.929991484756872
162,95.0,7,2005,2005,1541,1541,1541,2,7,1,2005.0,2,532,12.301382825334498
163,55.0,4,1956,1956,882,882,882,1,4,0,1980.0,0,0,11.544424132029599
164,40.0,6,1926,2004,1149,1149,1616,2,5,0,1926.0,1,216,11.931635799828413
165,62.0,5,1940,1999,644,808,1355,2,6,0,1980.0,0,0,11.755871643580617
166,69.0,5,1955,1993,1617,1867,1867,1,7,3,1955.0,1,303,12.154779351142624
167,86.0,8,2007,2007,1582,1610,2161,1,8,1,2007.0,3,789,12.693498620467778
168,62.0,7,2004,2004,840,840,1720,2,7,1,2004.0,2,440,12.119969946476761
169,69.0,8,1981,1981,1686,1707,1707,2,6,1,1981.0,2,511,12.337100907936577
170,69.0,5,1941,1950,720,854,1382,1,7,0,1991.0,2,660,11.763684183317412
171,141.0,6,1960,1960,1080,1656,1656,1,7,2,1960.0,2,528,12.2783933071098
172,44.0,7,1987,1987,1064,1064,1767,2,5,1,1987.0,2,504,12.384218830913648
173,80.0,6,1961,1961,1362,1362,1362,1,6,1,1961.0,2,504,12.0015054797889
174,47.0,6,1986,1986,1606,1651,1651,2,7,1,1986.0,2,616,12.122691036591123
175,84.0,6,1950,2001,1202,2158,2158,2,7,1,1950.0,2,576,12.400816722322686
176,97.0,6,1988,1989,1151,1164,2060,2,8,1,1988.0,2,521,12.259613412458204
177,69.0,5,1958,1958,1052,1252,1920,2,8,1,1958.0,2,451,12.058152515453552
178,63.0,9,2008,2009,2216,2234,2234,2,9,1,2009.0,3,1166,13.1260306447518
179,60.0,5,1923,2006,968,968,968,1,5,0,1935.0,2,480,11.512925464970229
180,69.0,6,2000,2000,756,769,1525,2,5,1,2000.0,2,440,12.083905011555967
181,54.0,7,1920,1950,793,901,1802,1,9,1,1920.0,1,216,12.206572520571825
182,60.0,5,1957,2006,0,1340,1340,1,7,1,1957.0,1,252,11.695247021764184
183,63.0,7,2003,2003,1362,1362,2082,2,6,0,2003.0,2,484,12.206072645530174
184,92.0,5,1908,1991,504,936,1252,1,5,0,1986.0,2,576,11.751942365440728
185,90.0,10,1892,1993,1107,1518,3608,2,12,2,1993.0,3,840,13.071070083016778
186,69.0,7,1990,1991,1188,1217,1217,2,6,0,1990.0,2,497,12.061046873479915
187,60.0,5,1916,1987,660,808,1656,2,8,0,1916.0,1,180,11.813030057420567
188,64.0,5,1979,1979,1086,1224,1224,0,6,2,1979.0,2,528,11.940393392554734
189,41.0,8,2001,2002,1593,1593,1593,1,5,1,2001.0,2,682,12.56374708980199
190,70.0,8,1932,1994,853,1549,2727,2,10,2,1932.0,2,440,12.66032791780777
191,69.0,7,1972,2004,725,725,1479,1,7,0,1972.0,2,484,12.122691036591123
192,68.0,7,1999,1999,1431,1431,1431,2,6,0,1999.0,2,666,12.165250651009918
193,24.0,7,2004,2004,970,970,1709,2,7,0,2004.0,2,380,11.77528972943772
194,60.0,5,1972,1972,864,864,864,1,5,0,1989.0,1,352,11.751942365440728
195,24.0,6,1976,1976,855,855,1456,2,7,1,1976.0,2,440,11.908340237224891
196,79.0,7,2007,2007,1726,1726,1726,2,8,1,2007.0,3,786,12.650348126203179
197,174.0,8,1918,1990,1360,1360,3112,2,8,1,1918.0,2,795,12.367340793126296
198,92.0,6,1912,1950,755,929,2229,1,8,0,1980.0,0,0,11.55214617812351
199,76.0,8,2004,2005,1713,1713,1713,2,7,1,2004.0,3,856,12.524162674153336
200,80.0,4,2003,2004,1121,1121,1121,2,5,0,2003.0,2,440,11.84939770159144
201,75.0,6,1977,1977,1196,1279,1279,2,6,2,1980.0,2,473,12.052338545588132
202,50.0,6,1924,1950,617,865,1310,2,6,0,1924.0,1,398,11.626254150277232
203,69.0,6,2004,2004,848,848,848,1,3,1,2004.0,2,420,11.911701584927597
204,50.0,5,1947,1950,720,720,1284,1,5,0,1948.0,1,240,11.608235644774552
205,99.0,7,1990,1990,1424,1442,1442,2,5,0,1990.0,2,500,12.103486056755072
206,40.0,5,1962,1962,1140,1696,1696,1,8,1,1962.0,1,349,11.876873892875459
207,69.0,4,1960,1960,1100,1100,1100,1,6,1,1960.0,1,312,11.856515169360305
208,69.0,7,1988,1989,1157,1180,2062,2,7,1,1988.0,2,454,12.531772785169476
209,75.0,6,1964,1964,1092,1092,1092,1,6,0,1964.0,2,504,11.884489021402711
210,67.0,5,1925,1950,864,864,864,1,5,0,1980.0,0,0,11.49272275765271
211,83.0,6,2009,2009,1212,1212,1212,2,6,0,2009.0,2,460,12.133501952695338
212,72.0,7,2009,2009,900,932,1852,2,7,1,2009.0,2,644,12.439871229831715
213,43.0,5,1995,1995,990,990,990,1,5,0,1996.0,2,576,11.957611286231675
214,69.0,6,1977,1977,689,689,1392,1,6,0,1977.0,1,299,11.993807212363148
215,72.0,5,1957,1996,1070,1236,1236,1,6,1,1957.0,1,447,11.80894766169701
216,65.0,7,2004,2004,1436,1436,1436,2,8,0,2004.0,2,484,12.254862809699606
217,57.0,4,1925,1950,686,810,1328,1,8,0,1940.0,1,210,11.580584113444043
218,69.0,7,1939,2006,798,1137,1954,1,8,2,1939.0,2,431,12.649154617209645
